genename	transcript	log2FoldChange	padj
STIL	NM_001048166,NM_001282936,NM_001282937,NM_001282938,NM_001282939,NM_003035	1.0593359242	1.49760288217914E-006
PDK2	NM_001199898,NM_001199899,NM_001199900,NM_002611	0.4895284516	0.014262118
MBLAC2	NM_203406	-0.0649660453	0.8334559129
HCCS	NM_001122608,NM_001171991,NM_005333	0.0082933016	0.9762019167
RAP1GAP2	NM_001100398,NM_015085	-0.2180883842	0.3914082861
CPNE7	NM_014427,NM_153636	0.8619053784	NA
ATP13A2	NM_001141973,NM_001141974,NM_022089	0.1456113823	0.5680996483
NHEJ1	NM_024782	0.0539707302	0.8770817614
NDUFB10	NM_004548	-0.0063967201	0.9785940536
ERP27	NM_001300784,NM_152321	0.2096564172	0.760304982
IGSF3	NM_001007237,NM_001542	0.2775796901	0.0220219847
PES1	NM_001243225,NM_001282327,NM_001282328,NM_014303	-0.2170778988	0.3237360728
MAP3K13	NM_001242314,NM_001242317,NM_004721,NR_038322	-0.3384255291	0.125279721
ABCB4	NM_000443,NM_018849,NM_018850	0.6696396141	0.2529301709
PLAC1	NM_021796	0.1757898904	0.6438157051
BLOC1S1-RDH5	NR_037658	0.3408363362	NA
GNPTAB	NM_024312	-0.3981144183	0.0018506203
GOLGA5	NM_005113	-0.3081723403	0.0602860531
PSPC1	NM_001042414,NR_003272,NR_044998	-0.0497957685	0.8058862351
BMF	NM_001003940,NM_001003942,NM_001003943,NM_033503	-1.7380277507	6.28978732076891E-012
DSCC1	NM_024094	1.2960981323	6.71873832780232E-009
FHDC1	NM_033393	0.6469209258	0.0090536242
SERPINH1	NM_001207014,NM_001235	-0.2410832539	0.2943588297
SNORA20	NR_002960	-0.7140008742	0.1948305925
DNAJC30	NM_032317	0.28141627	0.2162728834
SPAG8	NM_001039592,NM_172312	-0.3595665314	NA
AIFM1	NM_001130846,NM_001130847,NM_004208,NM_145812,NM_145813	0.4285521786	0.0254192049
RNF181	NM_016494	-0.1070209237	0.5995441597
FAM174B	NM_207446	0.1511299222	0.431544616
MALT1	NM_006785,NM_173844	-0.4958955262	0.075988944
KIAA2013	NM_138346	-0.4027501166	0.0096951557
LINC00242	NR_026781	-0.0107805707	NA
PRNP	NM_000311,NM_001080121,NM_001080122,NM_001080123,NM_183079	-0.6510598102	0.0002808218
FLJ32255	NR_104643	-0.1024906305	0.8892778918
IQSEC1	NM_001134382,NM_014869	1.1516517175	1.15825748706583E-009
SAP30L-AS1	NR_037897	0.7173420073	0.0842303998
LARS	NM_020117	-0.1255762103	0.4535447945
PPM1M	NM_001122870,NM_144641	0.5097559357	0.3051306682
VAT1L	NM_020927	0.4054616402	NA
LYST	NM_000081,NM_001301365,NR_102436	0.0824269003	0.7693108842
LMLN	NM_001136049,NM_033029,NR_026786,NR_026787	0.0921812694	0.8256837477
MGAT3	NM_001098270,NM_002409	-0.0061629776	0.9931519401
ANKDD1A	NM_182703	-0.7032758437	NA
DUSP12	NM_007240	-0.1573234711	0.6118355116
NUMA1	NM_001286561,NM_006185,NR_104476	0.1234872506	0.2892404683
EFCAB13	NM_001195192,NM_152347	-0.2374952788	0.5821980427
CD2BP2	NM_001243646,NM_006110	-0.1886523806	0.1728243296
ARHGDIA	NM_001185077,NM_001185078,NM_001301240,NM_001301241,NM_001301242,NM_001301243,NM_004309,NR_125441	0.5770394891	0.0002045914
FTSJ3	NM_017647	-0.0483093444	0.7913395508
MLH1	NM_000249,NM_001167617,NM_001167618,NM_001167619,NM_001258271,NM_001258273,NM_001258274	0.5624330896	0.002514263
IQCH	NM_001031715,NM_001284347,NM_001284348,NM_001284349,NM_022784	0.1713756607	0.679404619
CCDC88A	NM_001135597,NM_001254943,NM_018084	0.171991875	0.7707389363
ANAPC16	NM_001242546,NM_001242547,NM_001242548,NM_173473,NR_038391,NR_038392	0.0165451766	0.9484653746
CYGB	NM_134268	-0.3701692561	NA
RAB30	NM_001286059,NM_001286060,NM_001286061,NM_014488	-0.3491457796	0.0169081369
TSHZ3	NM_020856	0.2140712532	0.6803490733
C5orf22	NM_018356	-0.038400467	0.8738944384
JOSD1	NM_014876	0.3372648921	0.0343525069
LOC642361	NR_029407	-0.1106505953	0.800918633
OSCP1	NM_145047,NM_206837	-0.1557319914	0.7560113695
RGL3	NM_001035223,NM_001161616	-1.1303353892	0.0161320093
LOC100130899	NR_039988	1.2778379915	0.0133440579
ZNF716	NM_001159279	0.6265359727	NA
HNRNPK	NM_002140,NM_031262,NM_031263	0.3880106595	8.63395871367631E-005
TUBB1	NM_030773	-0.7267163281	0.0563027264
SRP54	NM_001146282,NM_003136	-0.1043141552	0.4503704286
CMTM6	NM_017801	-0.2987056026	0.0434930688
POTEH	NM_001136213	0.2068009905	NA
SGSM1	NM_001039948,NM_001098497,NM_001098498,NM_133454	0.273425187	0.5467098576
AGER	NM_001136,NM_001206929,NM_001206932,NM_001206934,NM_001206936,NM_001206940,NM_001206954,NM_001206966,NM_172197,NR_038190	-1.1036673838	0.0270633902
VTI1B	NM_006370	0.1502107034	0.3175642263
ZNF90	NM_007138	1.469053887	NA
ZNF625	NM_145233,NR_037801	3.290185464	1.46238067222691E-014
NCOA4	NM_001145260,NM_001145261,NM_001145262,NM_001145263,NM_005437	-0.0426249505	0.7560113695
IGFLR1	NM_024660	0.2236231276	0.6814193209
LINC01279	NR_109779	0.0469277571	NA
PRKCD	NM_006254,NM_212539	-0.2126786508	0.3406239719
SPATC1L	NM_001142854,NM_032261	0.6849700184	0.0586497741
CDSN	NM_001264	-0.16732507	0.8105212034
SPTBN1	NM_003128,NM_178313	-0.2152990298	0.1416975434
NDUFB5	NM_001199957,NM_001199958,NM_002492	-0.0785800504	0.6722662556
LINC00539	NR_103840,NR_103841	-0.5102273682	NA
KANTR	NR_110456	-0.0311549731	0.9541714626
RAB17	NM_022449,NR_033308	-0.2945621193	0.1180823805
POLR2H	NM_001278698,NM_001278699,NM_001278700,NM_001278714,NM_001278715,NM_006232	-0.0935949499	0.5953087169
PLCL2	NM_001144382,NM_015184	-0.037145338	NA
BFSP2	NM_003571	-0.4554051036	0.4290580028
HPS6	NM_024747	-0.1176442499	0.5843822106
FOXP4	NM_001012426,NM_001012427,NM_138457	0.4528278928	0.1049776607
SMARCAL1	NM_001127207,NM_014140	0.320160566	0.1482546674
COPS8	NM_006710,NM_198189	-0.2855774482	0.0823622278
KCNK12	NM_022055	-0.0410446461	0.955051478
CASK	NM_001126054,NM_001126055,NM_003688	-0.1589539321	0.2806673514
ASB6	NM_001202403,NM_017873,NM_177999	-0.1395603436	0.4617849734
XPO4	NM_022459	0.2281067144	0.1800592625
RNF32	NM_001184996,NM_001184997,NM_030936	0.5443804432	0.0908312448
CORO1C	NM_001105237,NM_001276471,NM_014325	0.7251645433	1.28265685033035E-006
LRCH3	NM_032773	0.4428084829	0.0287112161
BCL9L	NM_182557	0.5118010521	0.0509027332
AQR	NM_014691	-0.1787043845	0.3051306682
C5AR2	NM_001271749,NM_001271750,NM_018485	-0.1073400748	0.7155964989
DTWD2	NM_173666	-0.0070509382	0.9820089665
DLG1-AS1	NR_038289	-0.2530388477	NA
ZNF543	NM_213598	1.4400387652	4.16124706607418E-006
GNA13	NM_001282425,NM_006572	-0.005041164	0.980084574
PHACTR2	NM_001100164,NM_001100165,NM_001100166,NM_014721	0.4305649498	0.000495147
LPAR2	NM_004720	0.4499493255	0.0207445851
IMPDH2	NM_000884	2.0187154148	3.70365185266262E-023
MED8	NM_001001653,NM_052877,NM_201542	-0.0273995407	0.9181138352
CHUK	NM_001278	-0.7477678342	5.44675702947906E-007
PHLDB1	NM_001144758,NM_001144759,NM_015157	-0.2410607062	0.2066127084
VSTM4	NM_001031746,NM_144984	-0.3874752514	NA
SYT10	NM_198992	0.6898841028	0.0014785356
C17orf104	NM_001145080	0.7364912774	0.1955855402
AAED1	NM_153698	-0.2236467391	0.5173874701
TXNIP	NM_006472	-1.0039558475	2.30713512509868E-008
FAM134C	NM_178126,NR_026697	-0.2763802425	0.064992801
MEX3D	NM_001174118,NM_203304	0.532050803	0.002168291
NFIB	NM_001190737,NM_001190738,NM_001282787,NM_005596	0.5989941118	1.65824287559294E-005
CEP78	NM_001098802,NM_032171	0.8269543802	0.0003340967
OMD	NM_005014	0.0901656582	NA
LOC728730	NR_037875	0.4317787311	0.4290580028
SERPINI1	NM_001122752,NM_005025	-0.3943828831	0.5344514978
HMOX1	NM_002133	-0.3324891663	0.3484795354
TBC1D2B	NM_015079,NM_144572	0.2668757864	0.0914340617
TRPV3	NM_001258205,NM_145068	0.5733159696	0.1175537828
GNE	NM_001128227,NM_001190383,NM_001190384,NM_001190388,NM_005476	0.9595064525	0.0004124317
DOCK5	NM_024940	0.3905739763	0.0968937785
SOCS4	NM_080867,NM_199421	-0.6548372688	3.71074157657465E-005
NRGN	NM_001126181,NM_006176	0.8747969226	NA
SMCO3	NM_001013698	-0.6114286026	0.2414798911
R3HCC1L	NM_001256619,NM_001256620,NM_001256621,NM_014472,NM_138469	-0.1885354356	0.3502412164
GLA	NM_000169	1.9345100288	2.91461616177161E-060
PLOD1	NM_000302	0.2346438951	0.3853654555
TTC9	NM_015351	-0.3647538053	0.0984116569
DKFZP434I0714	NR_033797	-1.0494487845	0.0005747246
CDC20	NM_001255	2.2881251849	2.083028261194E-014
ACTR2	NM_001005386,NM_005722	0.4204606966	8.12374521997824E-005
OVOL1-AS1	NR_108085	-0.0272994328	NA
ADAM19	NM_033274	0.2917493084	NA
SGPP2	NM_152386	0.1713850733	0.8046230075
LCMT1-AS2	NR_039998	0.5073977853	0.3804628167
FGD1	NM_004463	0.3330226107	0.4379209605
LOC100132111	NR_024237	1.1395159288	0.0378083272
UGDH	NM_001184700,NM_001184701,NM_003359	1.4899692446	4.40682571678621E-030
STRN4	NM_001039877,NM_013403	0.1159226671	0.5229221908
IFT122	NM_001280541,NM_001280545,NM_001280546,NM_018262,NM_052985,NM_052989,NM_052990	0.0691077137	0.7736622174
MAN1A2	NM_006699	-0.3739956153	0.0640881092
ZBTB9	NM_152735	-0.4413442873	0.0616423447
ZBTB7A	NM_015898	0.7142277472	9.83381901843094E-006
CDC14B	NM_001077181,NM_003671,NM_033331	0.0822326992	0.8575323191
CD151	NM_001039490,NM_004357,NM_139029,NM_139030	-0.5950156576	0.000002525
GPR143	NM_000273	0.1081540307	0.7726301606
UBR4	NM_020765	0.3885854117	0.0823622278
CHD6	NM_032221	-0.3476745076	0.0281307992
RINL	NM_001195833,NM_198445	-0.2498138219	0.5521110401
SPSB1	NM_025106	-0.2765762097	0.1636593933
AGRN	NM_198576	-0.1274266599	0.5752885257
GTF3C6	NM_138408	0.4720660112	0.0339396939
SS18L1	NM_001301778,NM_198935,NR_125980,NR_125981	-0.6682650512	0.0001265253
NENF	NM_013349,NR_026598	-0.3909610743	0.0438300101
ZNF84	NM_001127372,NM_001289971,NM_001289972,NM_003428	-0.7101084353	0.0005622403
DDX26B	NM_182540	0.3443886669	0.2537867514
IGDCC4	NM_020962	-0.835816142	NA
ROCK1P1	NR_033770	0.2033960986	NA
AUTS2	NM_001127231,NM_001127232,NM_015570	0.2968207823	0.5717804679
PRKG2	NM_001282480,NM_001282481,NM_001282482,NM_001282483,NM_001282485,NM_006259	-0.1338643793	0.8526909086
GJB5	NM_005268	-0.6950781283	0.2352812238
LOC100335030	NR_033267	0.2216437269	0.740946234
TWF1	NM_001242397,NM_002822,NR_073472,NR_073473	-0.3314517118	0.0578276951
XRCC5	NM_021141	0.3937440189	0.0069403117
ZNF385A	NM_001130967,NM_001130968,NM_001290001,NM_001290002,NM_001290004,NM_015481	0.7587464316	0.1213131124
SCAMP1-AS1	NR_105014	-0.3455235651	0.268917268
ZNF280D	NM_001002843,NM_001002844,NM_001288588,NM_001288589,NM_017661	-0.5898163224	0.0035269399
LOC100507557	NR_038244,NR_038245,NR_038246	-0.2183086929	0.7498189468
RBM22	NM_018047	-0.1001357453	0.6097422234
MRPS31P5	NR_002816,NR_051963,NR_051964,NR_051965	-0.9024646948	0.0001934019
SMYD5	NM_006062	0.2981481552	0.2260952413
ZNHIT3	NM_001281432,NM_001281433,NM_001281434,NM_004773,NR_104009,NR_104010,NR_104011	-0.4949063186	0.007424038
B3GALT6	NM_080605	-0.3134869619	0.1282366437
ZNF707	NM_001100598,NM_001100599,NM_001288805,NM_001288806,NM_001288807,NM_001288808,NM_001288809,NM_173831,NR_110190,NR_110191,NR_110192,NR_110193	-0.293688635	0.1690758484
TMEM238	NM_001190764	-0.1335104085	0.7419123024
ACCS	NM_001127219,NM_032592	-0.0457037672	0.9316169467
PPIG	NM_004792	-0.3443590297	0.0786448606
HLA-H	NR_001434	-0.9470083994	0.0580956244
DIS3L	NM_001143688,NM_133375	0.0928875862	0.6348144135
FAM110C	NM_001077710	-0.7743940826	0.0004498031
TM9SF4	NM_014742	-0.4071655307	0.0015020446
TADA2B	NM_152293	-0.2343975763	0.2802028303
DNLZ	NM_001080849,NR_073565	0.1402606584	0.6379251509
RHOV	NM_133639	-0.6093086099	0.0310774653
CFAP57	NM_001167965,NM_001195831,NM_152498	0.307814282	NA
ARMCX6	NM_001009584,NM_001184768,NM_019007,NR_033669,NR_033670	0.3745690131	0.0133373738
RPN2	NM_001135771,NM_002951	0.6732843705	3.64282340269659E-008
LRRC29	NM_001004055,NM_012163	0.1264577136	0.861190382
KLHL22	NM_032775,NR_033825	0.074886699	0.7897797447
TNS4	NM_032865	1.4417251563	0.0006280391
SYNJ1	NM_001160302,NM_001160306,NM_003895,NM_203446	0.2031318387	0.5567524179
AMDHD2	NM_001145815,NM_015944	-0.2191293533	0.3731682433
C19orf35	NM_198532	-0.8917070932	0.0661182478
ZNF865	NM_001195605	0.6858122517	0.0276395755
CRNDE	NR_034105,NR_034106,NR_110453,NR_110454	-0.1239328733	0.6852060061
TEX40	NM_001039496	-0.4754795633	NA
TIPARP-AS1	NR_027954	-0.3058164465	0.5978932961
ZNF347	NM_001172674,NM_001172675,NM_032584	1.2980478248	0.0117899419
C20orf194	NM_001009984	-0.038993876	0.8992163715
EXOSC4	NM_019037	-0.3429197856	0.1081823966
SDE2	NM_152608	-0.7888621556	0.000001135
BICD2	NM_001003800,NM_015250	-0.3064680675	0.0749981349
OPA1	NM_015560,NM_130831,NM_130832,NM_130833,NM_130834,NM_130835,NM_130836,NM_130837	-0.1652125216	0.164113128
TMEM184C	NM_018241	-0.713133713	4.82644284934439E-008
LRFN3	NM_024509	-0.073333112	0.8793810806
GSG1L	NM_001109763,NM_144675	0.279991171	0.6609439385
METTL14	NM_020961	-0.3427274484	0.1063004226
HAP1	NM_001079870,NM_001079871,NM_177977	0.9459432912	0.0917294293
C19orf43	NM_024038	0.7443406461	8.97688087230817E-008
C1S	NM_001734,NM_201442	0.0842637941	NA
PPAP2C	NM_003712,NM_177526,NM_177543	-0.7031532085	5.1969363826321E-006
MRPS28	NM_014018	-0.5239793263	0.005291438
BLCAP	NM_001167820,NM_001167821,NM_001167822,NM_001167823,NM_006698	-0.0410751508	0.8534842047
DCAKD	NM_001128631,NM_001288654,NM_001288655,NM_024819	0.3033844254	0.1500161925
NDRG2	NM_001282211,NM_001282212,NM_001282213,NM_001282214,NM_001282215,NM_001282216,NM_016250,NM_201535,NM_201536,NM_201537,NM_201538,NM_201539,NM_201540,NM_201541	0.1693547059	0.6624545758
GSTM3	NM_000849,NR_024537	-0.2614031392	0.1560109184
KIAA1244	NM_020340	0.3340238122	0.0048700529
SPCS3	NM_021928	-0.1182788708	0.6063438037
THOC2	NM_001081550	-0.615723229	1.98168434434528E-005
FBL	NM_001436	0.9247354672	2.63727797779888E-011
BAP1	NM_004656	-0.1648942207	0.383791488
TRNP1	NM_001013642	0.451676122	0.4340029734
FBXO42	NM_018994	0.1842319081	0.405824117
FBLN2	NM_001004019,NM_001165035,NM_001998	0.1616108528	0.8057159964
WDR44	NM_001184965,NM_001184966,NM_019045	-0.0394754026	0.8813436201
NEURL2	NM_001278535,NM_080749	0.171799457	0.8014248771
CFAP70	NM_145170	0.2990914057	0.6478710266
ARHGAP21	NM_020824	-0.3089623739	0.0495225664
SGK494	NM_001174103	-1.4947804664	2.08559352981434E-005
CFL1	NM_005507	0.5747144768	0.0016155207
STAG3L3	NR_040582	0.0305158264	0.9474842195
DHFRL1	NM_001195643,NM_176815	0.0215164648	0.9609805383
SCAMP2	NM_005697	0.1200193046	0.4608307995
CELSR3	NM_001407	-0.3995564995	0.0602721282
INVS	NM_014425,NM_183245,NR_051962	0.2933688225	0.2997691666
PDE3B	NM_000922	0.7898076331	0.0018204455
SCARNA11	NR_003012	-0.6905111596	0.2391107317
AMER2	NM_152704,NM_199138	-1.065752267	0.0416638814
SCLY	NM_016510	-0.2136711931	0.6111327818
ISCU	NM_001301140,NM_001301141,NM_014301,NM_213595	-0.3630719852	0.0174486523
MIF4GD	NM_001242498,NM_001242501,NM_020679	-0.2415518868	0.3507129524
IGFL1	NM_198541	0.4265070953	NA
YBEY	NM_001006114,NM_058181	0.0479168408	0.910154804
EIF3A	NM_003750	0.2009376225	0.1692720907
HMGCL	NM_000191,NM_001166059	0.5242302592	0.0085753655
BLZF1	NM_003666	-0.6977640616	0.003705079
ZNF576	NM_001145347,NM_024327	-0.6432931763	0.0112454895
LOC101928069	NR_120586	-0.10885986	0.8770527511
TLK1	NM_001136554,NM_001136555,NM_012290	0.2491068359	0.1083718862
CANT1	NM_001159772,NM_001159773,NM_138793	0.35884958	0.0274470207
PRR14L	NM_173566	0.345991788	0.0462800226
C19orf10	NM_019107	-0.2117278432	0.2809717999
FAM171B	NM_177454	-1.3792625552	2.12864511339253E-013
QSOX2	NM_181701	-0.7134755476	1.1502321867233E-005
EYA2	NM_005244,NM_172110	-0.2074823984	0.6509523211
RPL15	NM_001253379,NM_001253380,NM_001253382,NM_001253383,NM_001253384,NM_002948	0.6265482098	1.08540400235393E-007
POLL	NM_001174084,NM_001174085,NM_013274,NR_033406	-0.0323086415	0.9089220838
KNOP1	NM_001012991	0.1353730597	0.5780723217
MAGI3	NM_001142782,NM_152900	0.2992635368	0.0308100196
ZBTB44	NM_001301098,NM_001301099,NM_014155	0.2718156447	0.1183063754
STKLD1	NM_153710,NR_103997	-0.9057055897	0.0925519753
PRC1-AS1	NR_051984	0.5159624329	NA
SRSF10	NM_001191005,NM_001191006,NM_001191007,NM_001191009,NM_001300936,NM_001300937,NM_006625,NM_054016,NR_034035	-0.1675522312	0.3170667669
POLR3H	NM_001018050,NM_001018052,NM_001282884,NM_001282885,NM_138338	0.7335490486	3.59718371046754E-006
EBPL	NM_001278636,NM_032565,NR_103802,NR_103803	0.1027134345	0.7134950025
ZNF595	NM_001286052,NM_001286053,NM_001286054,NM_182524	0.2244757148	0.296898523
ACAD11	NM_032169	-0.667844128	0.0162737936
RPL36AL	NM_001001	-0.1344271893	0.3229335137
PCDHB6	NM_001303145,NM_018939	-0.3435656238	0.5788667462
LOC102723828	NR_125936	0.4440808556	0.2486653272
MCM7	NM_001278595,NM_005916,NM_182776	1.2436020589	3.42158923734154E-012
CCNH	NM_001199189,NM_001239	-0.4292494945	0.0305910207
AGAP7P	NR_126580	-0.4738628887	0.3001579116
NBPF6	NM_001143987,NM_001143988	-0.6532240334	0.266527286
PAPD7	NM_001171805,NM_001171806,NM_006999	0.0895556284	0.693681804
VKORC1	NM_024006,NM_206824	-0.057837795	0.7808337862
ANK2	NM_001127493,NM_001148,NM_020977	1.4476488946	0.0062990809
CENPQ	NM_018132	0.5933890221	0.0947751691
CEP83-AS1	NR_027035	-0.4572812399	0.4637204272
CDKN3	NM_001130851,NM_005192	1.4373777257	1.34325559060752E-009
RIMS3	NM_014747	1.0112754297	0.0254855059
LOC90834	NR_026993	-0.6048414445	0.2646950899
TAMM41	NM_001284401,NM_138807,NR_104314	0.45581128	0.1818232304
SEL1L	NM_001244984,NM_005065	-0.4597583577	0.0001800298
PCDHB19P	NR_001282	-0.7589423592	0.0686312683
WBP11	NM_016312	0.3969012286	0.0236636308
CELSR1	NM_014246	-0.186333122	0.1653479089
MLLT10P1	NR_045115	-0.1657869211	NA
INSIG1	NM_005542,NM_198336,NM_198337	0.3587998575	0.0943774386
CACFD1	NM_001135775,NM_001242369,NM_001242370,NM_017586	-0.2610830773	0.438330813
LOC101559451	NR_103482	-0.0811459374	NA
ACOT9	NM_001033583,NM_001037171	0.1794170773	0.4916019569
KIF23	NM_001281301,NM_004856,NM_138555	1.9868317003	1.37130576148944E-026
PLEKHG1	NM_001029884	0.2338713858	0.7155964989
KCNV1	NM_014379	0.3584268018	0.5812101877
GIT2	NM_001135213,NM_001135214,NM_014776,NM_057169,NM_057170,NM_139201	0.1444756144	0.4922471373
LLGL2	NM_001015002,NM_001031803,NM_004524	-0.2829334851	0.0148780232
ZC3H7B	NM_017590	0.396436422	0.0075200683
CCDC183	NM_001039374	-0.0562957002	0.9344900333
ZNF335	NM_022095	-0.4872285559	0.0043463711
CA12	NM_001218,NM_001293642,NM_206925	-1.1307339187	1.11946566550559E-021
ZMYM6NB	NM_001195156	-0.4562543971	0.0955438366
MRPL19	NM_014763	0.1977285805	0.3329770377
CCT6A	NM_001009186,NM_001762	0.0087609951	0.9615909997
CARS2	NM_024537	-0.1316496937	0.6832639151
SNORA80A	NR_002996	-0.823094343	0.0170115495
DOK3	NM_001144875,NM_001144876,NM_024872	-0.5717087476	NA
C21orf59	NM_021254,NR_036552	0.1223273058	0.5368959401
TAS2R5	NM_018980	-0.6081224742	NA
KIAA2022	NM_001008537	0.1586742755	0.7349619215
CECR5	NM_017829,NM_033070	0.0565938091	0.7955525914
ZCCHC18	NM_001143978,NR_026694	-0.4976955553	NA
SIVA1	NM_006427,NM_021709	-0.0190961941	0.9299728466
LINC00176	NR_027686,NR_027687	-1.3568743902	5.16570844425023E-005
MFSD11	NM_001242532,NM_001242533,NM_001242534,NM_001242535,NM_001242536,NM_001242537,NM_024311	0.0151050655	0.9565236744
COL4A6	NM_001287758,NM_001287759,NM_001287760,NM_001847,NM_033641	-0.7497902175	0.0662231425
PANX3	NM_052959	-0.376453656	NA
NSD1	NM_022455,NM_172349	-0.2262457403	0.128466836
TRA2A	NM_001282757,NM_001282758,NM_001282759,NM_013293	0.1909901667	0.2345095748
LOC101927770	NR_110051	-0.6027286732	0.0507328792
DIRC3	NR_026597	-0.3437306017	0.5627265736
TRIM13	NM_001007278,NM_005798,NM_052811,NM_213590	-1.2629357018	7.20760411003176E-015
EIF2S1	NM_004094	-0.3140847149	0.00381311
EVL	NM_016337	0.6896694098	0.0020171824
KNDC1	NM_152643	0.9377887916	0.0012331241
YJEFN3	NM_001190328,NM_198537	-0.2449769265	NA
PLXNB2	NM_012401	-0.3852236106	0.0008041651
SLC43A2	NM_001284498,NM_001284499,NM_152346	-0.2285620966	0.2084048776
CSE1L	NM_001256135,NM_001316,NR_045796	0.5792926088	2.06361794871358E-005
ZNF362	NM_152493	0.5146002683	0.0091899031
FAM181B	NM_175885	1.1172074007	NA
FAM98C	NM_174905	0.0799875484	0.7914933504
LOC100288181	NR_038925	0.2998578248	0.5615181977
FAM69A	NM_001006605,NM_001252269,NM_001252270,NM_001252271,NM_001252273	-0.6348084327	0.1381797356
FHOD1	NM_013241	-0.3746577747	0.1616418582
FAXC	NM_032511	0.7865306561	0.1091381444
DCUN1D4	NM_001040402,NM_001287755,NM_001287757,NM_015115	-0.5046713549	0.0073450475
DNAJB2	NM_001039550,NM_006736	-0.3399382982	0.0806285941
NHLRC1	NM_198586	-0.2661751377	0.4387772923
SERINC4	NM_001258031,NM_001258032	0.1114989734	NA
MYOZ1	NM_021245	0.4713138456	NA
CAPN6	NM_014289	-0.2031294023	NA
SLC39A11	NM_001159770,NM_139177	-0.4711560032	0.0077215148
DUSP2	NM_004418	0.2153671535	0.6405297865
SKOR1	NM_001258024	0.366608411	NA
ASPHD1	NM_181718	-0.0497573228	0.9410307644
MOB4	NM_001100819,NM_001204094,NM_015387,NM_199482	-0.0934321386	0.6393821597
MRPL38	NM_032478	0.3513925491	0.1133702319
HIST1H2AL	NM_003511	2.863243867	1.45852168795399E-037
LINC00950	NR_024006	0.4938206396	NA
RPL18A	NM_000980	0.5130834234	0.000048909
AP3M1	NM_012095,NM_207012	0.0405530058	0.8279358965
C17orf89	NM_001086521	-0.5135847805	0.0239967018
EOGT	NM_001278689,NM_173654,NR_103826	-0.7651948001	0.0010131946
FAM177A1	NM_001079519,NM_001289022,NM_173607	-0.3576231092	0.0365095058
TTC25	NM_031421,NR_110662	-0.1939679525	NA
ACADS	NM_000017,NM_001302554	0.3754609862	0.2580826776
DLX3	NM_005220	0.2554366588	0.5876322696
SPTY2D1	NM_194285	-0.4940190203	0.0012178258
SYNE1	NM_033071,NM_182961	-0.0491207771	0.8892778918
USMG5	NM_001206426,NM_001206427,NM_032747	-0.3233098051	0.0447791314
PHLDB2	NM_001134437,NM_001134438,NM_001134439,NM_145753	-0.8902695618	0.0061500907
RITA1	NM_001286215,NM_032848	0.0360314488	0.8852519746
C2CD4C	NM_001136263	0.2573625112	0.699726775
LINC01144	NR_024270	-0.822904268	0.1220200546
LIN37	NM_019104	-0.4824796301	0.0808500516
CIITA	NM_000246,NM_001286402,NM_001286403,NR_104444	-0.090029799	NA
PTER	NM_001001484,NM_001261836,NM_001261837,NM_001261838,NM_030664	0.0203539298	0.9508887374
C4orf3	NM_001001701,NM_001170330	-0.2107300917	0.3056914676
QKI	NM_001301085,NM_006775,NM_206853,NM_206854,NM_206855	-0.0114419404	0.9509836445
DCUN1D3	NM_173475	0.0259688379	0.9381147807
PACRGL	NM_001130727,NM_001258345,NM_001258346,NM_145048,NR_047661	-0.2515559236	0.4535683026
LOC728673	NR_126047	-0.5122873365	0.2041486358
CCDC80	NM_199511,NM_199512	-0.6304290393	0.1855842857
